-- Test --
Data_Point, Sample_Num, Time_Stamp, Time_Per, Temp, Gain, Int_Time, Allowable_Dev,Count Used Vio, Raw Values Vio(450nm), Values Selected Vio(450nm), Avg Of Vio(450nm), Count Used Blu, Raw Values Blu(500nm), Values Selected Blu(500nm), Avg Of Blu(500nm), Count Used Grn, Raw Values Grn(550nm), Values Selected Grn(550nm), Avg Of Grn(550nm), Count Used Yel, Raw Values Yel(570nm), Values Selected Yel(570nm), Avg Of Yel(570nm), Count Used Org, Raw Values Org(600nm), Values Selected Org(600nm), Avg Of Org(600nm), Count Used Red, Raw Values Red(650nm), Values Selected Red(650nm), Avg Of Red(650nm) 
0,1,2023-03-18 02:35:02.340135,8.53,30,64,700,150, 6 of 6, 283.34/283.34/283.34/283.34/284.36/283.34, 283.34/283.34/283.34/283.34/284.36/283.34, 283.51,6 of 6, 547.39/545.14/544.01/541.76/539.51/538.38, 547.39/545.14/544.01/541.76/539.51/538.38, 283.51,6 of 6, 318.61/317.6/317.6/316.59/315.58/315.58, 318.61/317.6/317.6/316.59/315.58/315.58, 283.51,6 of 6, 906.81/904.24/902.52/899.95/898.23/896.52, 906.81/904.24/902.52/899.95/898.23/896.52, 283.51,6 of 6, 424.55/422.74/422.74/420.92/420.01/419.1, 424.55/422.74/422.74/420.92/420.01/419.1, 283.51,6 of 6, 836.48/832.49/831.7/826.92/824.53/822.93, 836.48/832.49/831.7/826.92/824.53/822.93, 283.51
1,1,2023-03-18 02:35:11.895526,9.55,29,64,700,150, 6 of 6, 303.02/303.02/303.02/303.02/303.02/303.02, 303.02/303.02/303.02/303.02/303.02/303.02, 303.02,6 of 6, 651.77/649.21/647.92/646.64/644.08/642.79, 651.77/649.21/647.92/646.64/644.08/642.79, 303.02,6 of 6, 788.06/785.97/784.93/783.88/781.79/780.74, 788.06/785.97/784.93/783.88/781.79/780.74, 303.02,6 of 6, 1289.97/1288.16/1284.55/1282.74/1280.03/1278.22, 1289.97/1288.16/1284.55/1282.74/1280.03/1278.22, 303.02,6 of 6, 832.1/830.15/828.2/826.25/825.28/823.33, 832.1/830.15/828.2/826.25/825.28/823.33, 303.02,6 of 6, 856.96/854.26/851.56/849.76/847.96/846.15, 856.96/854.26/851.56/849.76/847.96/846.15, 303.02
2,1,2023-03-18 02:35:21.469692,9.57,30,64,700,150, 6 of 6, 302.07/303.05/303.05/303.05/303.05/303.05, 302.07/303.05/303.05/303.05/303.05/303.05, 302.89,6 of 6, 722.79/716.91/714.55/712.2/711.02/708.66, 722.79/716.91/714.55/712.2/711.02/708.66, 302.89,6 of 6, 640.59/637.55/636.54/634.51/633.5/632.48, 640.59/637.55/636.54/634.51/633.5/632.48, 302.89,6 of 6, 1244.55/1238.45/1234.97/1233.22/1231.48/1228.86, 1244.55/1238.45/1234.97/1233.22/1231.48/1228.86, 302.89,6 of 6, 690.13/686.3/685.34/682.46/682.46/680.54, 690.13/686.3/685.34/682.46/682.46/680.54, 302.89,6 of 6, 954.31/947.79/943.71/941.26/938.81/936.37, 954.31/947.79/943.71/941.26/938.81/936.37, 302.89
3,1,2023-03-18 02:35:31.037631,9.56,30,64,700,150, 6 of 6, 272.24/272.24/272.24/272.24/272.24/272.24, 272.24/272.24/272.24/272.24/272.24/272.24, 272.24,6 of 6, 605.49/601.72/600.46/599.2/596.68/596.68, 605.49/601.72/600.46/599.2/596.68/596.68, 272.24,6 of 6, 727.46/723.3/721.22/720.18/718.1/717.06, 727.46/723.3/721.22/720.18/718.1/717.06, 272.24,6 of 6, 1215.31/1208.15/1205.47/1203.68/1200.99/1199.2, 1215.31/1208.15/1205.47/1203.68/1200.99/1199.2, 272.24,6 of 6, 742.55/738.68/736.74/735.78/733.84/732.87, 742.55/738.68/736.74/735.78/733.84/732.87, 272.24,6 of 6, 830.77/826.45/823.86/822.13/819.54/818.68, 830.77/826.45/823.86/822.13/819.54/818.68, 272.24
4,1,2023-03-18 02:35:40.623457,9.58,28,64,700,150, 6 of 6, 258.52/259.68/259.68/259.68/259.68/260.83, 258.52/259.68/259.68/259.68/259.68/260.83, 259.68,6 of 6, 518.89/517.64/516.38/515.12/513.86/512.6, 518.89/517.64/516.38/515.12/513.86/512.6, 259.68,6 of 6, 747.45/745.43/742.4/741.39/740.38/739.37, 747.45/745.43/742.4/741.39/740.38/739.37, 259.68,6 of 6, 1037.46/1035.64/1032.01/1031.1/1029.28/1027.46, 1037.46/1035.64/1032.01/1031.1/1029.28/1027.46, 259.68,6 of 6, 766.67/764.8/761.99/760.12/759.19/758.25, 766.67/764.8/761.99/760.12/759.19/758.25, 259.68,6 of 6, 598.3/596.6/594.91/593.22/592.37/590.68, 598.3/596.6/594.91/593.22/592.37/590.68, 259.68
