Data_Point,Sample_Num,Time_Stamp,Time_Per,Temp,Gain,Int_Time,Allowable_Dev,Raw_Used_Vio,Raw_Values_Vio_450nm,Raw_Selected_Vio_450nm,Raw_Avg_Vio_450nm,Raw_StdDev_Vio_450nm,Call_Used_Vio,Call_Values_Vio_450nm,Cal_Selected_Vio_450nm,Cal_Avg_Vio_450nm,Cal_StdDev_Vio_450nm,Raw_Used_Blu,Raw_Values_Blu_500nm,Raw_Selected_Blu_500nm,Raw_Avg_Blu_500nm,Raw_StdDev_Blu_500nm,Call_Used_Blu,Call_Values_Blu_500nm,Cal_Selected_Blu_500nm,Cal_Avg_Blu_500nm,Cal_StdDev_Blu_500nm,Raw_Used_Grn,Raw_Values_Grn_550nm,Raw_Selected_Grn_550nm,Raw_Avg_Grn_550nm,Raw_StdDev_Grn_550nm,Call_Used_Grn,Call_Values_Grn_550nm,Cal_Selected_Grn_550nm,Cal_Avg_Grn_550nm,Cal_StdDev_Grn_550nm,Raw_Used_Yel,Raw_Values_Yel_570nm,Raw_Selected_Yel_570nm,Raw_Avg_Yel_570nm,Raw_StdDev_Yel_570nm,Call_Used_Yel,Call_Values_Yel_570nm,Cal_Selected_Yel_570nm,Cal_Avg_Yel_570nm,Cal_StdDev_Yel_570nm,Raw_Used_Org,Raw_Values_Org_600nm,Raw_Selected_Org_600nm,Raw_Avg_Org_600nm,Raw_StdDev_Org_600nm,Call_Used_Org,Call_Values_Org_600nm,Cal_Selected_Org_600nm,Cal_Avg_Org_600nm,Cal_StdDev_Org_600nm,Raw_Used_Red,Raw_Values_Red_650nm,Raw_Selected_Red_650nm,Raw_Avg_Red_650nm,Raw_StdDev_Red_650nm,Call_Used_Red,Call_Values_Red_650nm,Cal_Selected_Red_650nm,Cal_Avg_Red_650nm,Cal_StdDev_Red_650nm
0.0,3.0,2023-03-28 04:19:47.929702,20.27,37.0,64.0,700.0,150.0,"[307, 307, 308, 308, 308, 308]","[307, 307, 308, 308, 308, 308]","[307, 307, 308, 308, 308, 308]",307.67,0.52,"[311.78, 311.78, 312.8, 312.8, 312.8, 312.8]","[311.78, 311.78, 312.8, 312.8, 312.8, 312.8]","[311.78, 311.78, 312.8, 312.8, 312.8, 312.8]",312.46,0.53,"[501, 497, 495, 491, 490, 488]","[501, 497, 495, 491, 490, 488]","[501, 497, 495, 491, 490, 488]",493.67,4.89,"[564.28, 559.78, 557.53, 553.02, 551.89, 549.64]","[564.28, 559.78, 557.53, 553.02, 551.89, 549.64]","[564.28, 559.78, 557.53, 553.02, 551.89, 549.64]",556.02,5.5,"[358, 356, 354, 351, 350, 349]","[358, 356, 354, 351, 350, 349]","[358, 356, 354, 351, 350, 349]",353.0,3.58,"[362.11, 360.08, 358.06, 355.03, 354.01, 353.0]","[362.11, 360.08, 358.06, 355.03, 354.01, 353.0]","[362.11, 360.08, 358.06, 355.03, 354.01, 353.0]",357.05,3.62,"[1148, 1143, 1138, 1132, 1130, 1127]","[1148, 1143, 1138, 1132, 1130, 1127]","[1148, 1143, 1138, 1132, 1130, 1127]",1136.33,8.12,"[984.88, 980.59, 976.3, 971.16, 969.44, 966.87]","[984.88, 980.59, 976.3, 971.16, 969.44, 966.87]","[984.88, 980.59, 976.3, 971.16, 969.44, 966.87]",974.87,6.96,"[526, 523, 520, 517, 515, 513]","[526, 523, 520, 517, 515, 513]","[526, 523, 520, 517, 515, 513]",519.0,4.94,"[478.19, 475.46, 472.74, 470.01, 468.19, 466.37]","[478.19, 475.46, 472.74, 470.01, 468.19, 466.37]","[478.19, 475.46, 472.74, 470.01, 468.19, 466.37]",471.83,4.49,"[1082, 1075, 1069, 1060, 1057, 1053]","[1082, 1075, 1069, 1060, 1057, 1053]","[1082, 1075, 1069, 1060, 1057, 1053]",1066.0,11.24,"[861.97, 856.39, 851.61, 844.44, 842.05, 838.87]","[861.97, 856.39, 851.61, 844.44, 842.05, 838.87]","[861.97, 856.39, 851.61, 844.44, 842.05, 838.87]",849.22,8.96
1.0,3.0,2023-03-28 04:20:09.139092,20.34,37.0,64.0,700.0,150.0,"[267, 267, 267, 267, 267, 267]","[267, 267, 267, 267, 267, 267]","[267, 267, 267, 267, 267, 267]",267.0,0.0,"[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]","[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]","[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]",286.9,0.0,"[452, 449, 447, 445, 444, 443]","[452, 449, 447, 445, 444, 443]","[452, 449, 447, 445, 444, 443]",446.67,3.39,"[579.92, 576.08, 573.51, 570.94, 569.66, 568.38]","[579.92, 576.08, 573.51, 570.94, 569.66, 568.38]","[579.92, 576.08, 573.51, 570.94, 569.66, 568.38]",573.08,4.34,"[695, 691, 689, 686, 684, 682]","[695, 691, 689, 686, 684, 682]","[695, 691, 689, 686, 684, 682]",687.83,4.79,"[726.4, 722.21, 720.12, 716.99, 714.9, 712.81]","[726.4, 722.21, 720.12, 716.99, 714.9, 712.81]","[726.4, 722.21, 720.12, 716.99, 714.9, 712.81]",718.91,5.01,"[1296, 1290, 1285, 1280, 1278, 1276]","[1296, 1290, 1285, 1280, 1278, 1276]","[1296, 1290, 1285, 1280, 1278, 1276]",1284.17,7.7,"[1171.55, 1166.13, 1161.61, 1157.09, 1155.28, 1153.47]","[1171.55, 1166.13, 1161.61, 1157.09, 1155.28, 1153.47]","[1171.55, 1166.13, 1161.61, 1157.09, 1155.28, 1153.47]",1160.86,6.97,"[802, 798, 795, 791, 789, 787]","[802, 798, 795, 791, 789, 787]","[802, 798, 795, 791, 789, 787]",793.67,5.72,"[781.43, 777.54, 774.61, 770.72, 768.77, 766.82]","[781.43, 777.54, 774.61, 770.72, 768.77, 766.82]","[781.43, 777.54, 774.61, 770.72, 768.77, 766.82]",773.32,5.57,"[855, 851, 847, 843, 840, 838]","[855, 851, 847, 843, 840, 838]","[855, 851, 847, 843, 840, 838]",845.67,6.56,"[769.64, 766.04, 762.44, 758.84, 756.14, 754.34]","[769.64, 766.04, 762.44, 758.84, 756.14, 754.34]","[769.64, 766.04, 762.44, 758.84, 756.14, 754.34]",761.24,5.91
2.0,3.0,2023-03-28 04:20:29.177468,19.24,39.0,64.0,700.0,150.0,"[299, 300, 300, 300, 299, 299]","[299, 300, 300, 300, 299, 299]","[299, 300, 300, 300, 299, 299]",299.5,0.55,"[293.24, 294.22, 294.22, 294.22, 293.24, 293.24]","[293.24, 294.22, 294.22, 294.22, 293.24, 293.24]","[293.24, 294.22, 294.22, 294.22, 293.24, 293.24]",293.73,0.54,"[563, 558, 556, 552, 551, 549]","[563, 558, 556, 552, 551, 549]","[563, 558, 556, 552, 551, 549]",554.83,5.19,"[662.75, 656.87, 654.51, 649.81, 648.63, 646.27]","[662.75, 656.87, 654.51, 649.81, 648.63, 646.27]","[662.75, 656.87, 654.51, 649.81, 648.63, 646.27]",653.14,6.11,"[599, 595, 592, 589, 588, 586]","[599, 595, 592, 589, 588, 586]","[599, 595, 592, 589, 588, 586]",591.5,4.85,"[607.14, 603.09, 600.05, 597.01, 595.99, 593.97]","[607.14, 603.09, 600.05, 597.01, 595.99, 593.97]","[607.14, 603.09, 600.05, 597.01, 595.99, 593.97]",599.54,4.91,"[1347, 1341, 1336, 1330, 1327, 1324]","[1347, 1341, 1336, 1330, 1327, 1324]","[1347, 1341, 1336, 1330, 1327, 1324]",1334.17,8.8,"[1173.96, 1168.73, 1164.37, 1159.14, 1156.53, 1153.91]","[1173.96, 1168.73, 1164.37, 1159.14, 1156.53, 1153.91]","[1173.96, 1168.73, 1164.37, 1159.14, 1156.53, 1153.91]",1162.77,7.67,"[694, 689, 686, 683, 681, 679]","[694, 689, 686, 683, 681, 679]","[694, 689, 686, 683, 681, 679]",685.33,5.54,"[665.21, 660.42, 657.54, 654.66, 652.75, 650.83]","[665.21, 660.42, 657.54, 654.66, 652.75, 650.83]","[665.21, 660.42, 657.54, 654.66, 652.75, 650.83]",656.9,5.31,"[1078, 1071, 1065, 1058, 1054, 1051]","[1078, 1071, 1065, 1058, 1054, 1051]","[1078, 1071, 1065, 1058, 1054, 1051]",1062.83,10.42,"[879.27, 873.56, 868.67, 862.96, 859.7, 857.25]","[879.27, 873.56, 868.67, 862.96, 859.7, 857.25]","[879.27, 873.56, 868.67, 862.96, 859.7, 857.25]",866.9,8.5
3.0,3.0,2023-03-28 04:20:49.454348,19.22,38.0,64.0,700.0,150.0,"[248, 249, 248, 248, 248, 247]","[248, 249, 248, 248, 248, 247]","[248, 249, 248, 248, 248, 247]",248.0,0.63,"[264.76, 265.83, 264.76, 264.76, 264.76, 263.69]","[264.76, 265.83, 264.76, 264.76, 264.76, 263.69]","[264.76, 265.83, 264.76, 264.76, 264.76, 263.69]",264.76,0.68,"[454, 451, 449, 446, 444, 443]","[454, 451, 449, 446, 444, 443]","[454, 451, 449, 446, 444, 443]",447.83,4.26,"[571.5, 567.73, 565.21, 561.43, 558.92, 557.66]","[571.5, 567.73, 565.21, 561.43, 558.92, 557.66]","[571.5, 567.73, 565.21, 561.43, 558.92, 557.66]",563.74,5.36,"[661, 657, 654, 650, 649, 646]","[661, 657, 654, 650, 649, 646]","[661, 657, 654, 650, 649, 646]",652.83,5.56,"[686.93, 682.77, 679.65, 675.49, 674.46, 671.34]","[686.93, 682.77, 679.65, 675.49, 674.46, 671.34]","[686.93, 682.77, 679.65, 675.49, 674.46, 671.34]",678.44,5.78,"[1301, 1293, 1287, 1281, 1276, 1273]","[1301, 1293, 1287, 1281, 1276, 1273]","[1301, 1293, 1287, 1281, 1276, 1273]",1285.17,10.63,"[1164.3, 1157.14, 1151.77, 1146.4, 1141.93, 1139.24]","[1164.3, 1157.14, 1151.77, 1146.4, 1141.93, 1139.24]","[1164.3, 1157.14, 1151.77, 1146.4, 1141.93, 1139.24]",1150.13,9.51,"[735, 730, 727, 723, 721, 719]","[735, 730, 727, 723, 721, 719]","[735, 730, 727, 723, 721, 719]",725.83,6.01,"[711.57, 706.73, 703.83, 699.96, 698.02, 696.08]","[711.57, 706.73, 703.83, 699.96, 698.02, 696.08]","[711.57, 706.73, 703.83, 699.96, 698.02, 696.08]",702.7,5.82,"[922, 915, 910, 904, 900, 897]","[922, 915, 910, 904, 900, 897]","[922, 915, 910, 904, 900, 897]",908.0,9.49,"[796.23, 790.18, 785.86, 780.68, 777.23, 774.64]","[796.23, 790.18, 785.86, 780.68, 777.23, 774.64]","[796.23, 790.18, 785.86, 780.68, 777.23, 774.64]",784.14,8.19
4.0,3.0,2023-03-28 04:21:09.911626,19.99,34.0,64.0,700.0,150.0,"[230, 230, 231, 231, 231, 231]","[230, 230, 231, 231, 231, 231]","[230, 230, 231, 231, 231, 231]",230.67,0.52,"[265.45, 265.45, 266.6, 266.6, 266.6, 266.6]","[265.45, 265.45, 266.6, 266.6, 266.6, 266.6]","[265.45, 265.45, 266.6, 266.6, 266.6, 266.6]",266.22,0.59,"[421, 419, 417, 414, 413, 412]","[421, 419, 417, 414, 413, 412]","[421, 419, 417, 414, 413, 412]",416.0,3.58,"[530.23, 527.71, 525.19, 521.41, 520.15, 518.89]","[530.23, 527.71, 525.19, 521.41, 520.15, 518.89]","[530.23, 527.71, 525.19, 521.41, 520.15, 518.89]",523.93,4.51,"[739, 736, 733, 730, 727, 727]","[739, 736, 733, 730, 727, 727]","[739, 736, 733, 730, 727, 727]",732.0,4.9,"[746.44, 743.41, 740.38, 737.35, 734.32, 734.32]","[746.44, 743.41, 740.38, 737.35, 734.32, 734.32]","[746.44, 743.41, 740.38, 737.35, 734.32, 734.32]",739.37,4.95,"[1153, 1148, 1144, 1140, 1136, 1135]","[1153, 1148, 1144, 1140, 1136, 1135]","[1153, 1148, 1144, 1140, 1136, 1135]",1142.67,7.03,"[1047.45, 1042.91, 1039.27, 1035.64, 1032.01, 1031.1]","[1047.45, 1042.91, 1039.27, 1035.64, 1032.01, 1031.1]","[1047.45, 1042.91, 1039.27, 1035.64, 1032.01, 1031.1]",1038.06,6.39,"[820, 815, 813, 810, 806, 805]","[820, 815, 813, 810, 806, 805]","[820, 815, 813, 810, 806, 805]",811.5,5.68,"[766.67, 761.99, 760.12, 757.32, 753.58, 752.64]","[766.67, 761.99, 760.12, 757.32, 753.58, 752.64]","[766.67, 761.99, 760.12, 757.32, 753.58, 752.64]",758.72,5.31,"[728, 724, 721, 717, 714, 711]","[728, 724, 721, 717, 714, 711]","[728, 724, 721, 717, 714, 711]",719.17,6.37,"[616.07, 612.68, 610.14, 606.76, 604.22, 601.68]","[616.07, 612.68, 610.14, 606.76, 604.22, 601.68]","[616.07, 612.68, 610.14, 606.76, 604.22, 601.68]",608.59,5.39
0.0,4.0,2023-03-28 04:21:30.852027,20.36,37.0,64.0,700.0,150.0,"[307, 308, 308, 308, 308, 309]","[307, 308, 308, 308, 308, 309]","[307, 308, 308, 308, 308, 309]",308.0,0.63,"[311.78, 312.8, 312.8, 312.8, 312.8, 313.81]","[311.78, 312.8, 312.8, 312.8, 312.8, 313.81]","[311.78, 312.8, 312.8, 312.8, 312.8, 313.81]",312.8,0.64,"[502, 498, 496, 493, 491, 489]","[502, 498, 496, 493, 491, 489]","[502, 498, 496, 493, 491, 489]",494.83,4.79,"[565.41, 560.91, 558.65, 555.27, 553.02, 550.77]","[565.41, 560.91, 558.65, 555.27, 553.02, 550.77]","[565.41, 560.91, 558.65, 555.27, 553.02, 550.77]",557.34,5.4,"[357, 355, 353, 351, 350, 349]","[357, 355, 353, 351, 350, 349]","[357, 355, 353, 351, 350, 349]",352.5,3.08,"[361.09, 359.07, 357.05, 355.03, 354.01, 353.0]","[361.09, 359.07, 357.05, 355.03, 354.01, 353.0]","[361.09, 359.07, 357.05, 355.03, 354.01, 353.0]",356.54,3.12,"[1147, 1143, 1139, 1132, 1130, 1127]","[1147, 1143, 1139, 1132, 1130, 1127]","[1147, 1143, 1139, 1132, 1130, 1127]",1136.33,7.89,"[984.03, 980.59, 977.16, 971.16, 969.44, 966.87]","[984.03, 980.59, 977.16, 971.16, 969.44, 966.87]","[984.03, 980.59, 977.16, 971.16, 969.44, 966.87]",974.87,6.77,"[525, 522, 519, 517, 515, 513]","[525, 522, 519, 517, 515, 513]","[525, 522, 519, 517, 515, 513]",518.5,4.46,"[477.28, 474.56, 471.83, 470.01, 468.19, 466.37]","[477.28, 474.56, 471.83, 470.01, 468.19, 466.37]","[477.28, 474.56, 471.83, 470.01, 468.19, 466.37]",471.37,4.06,"[1083, 1078, 1072, 1063, 1060, 1056]","[1083, 1078, 1072, 1063, 1060, 1056]","[1083, 1078, 1072, 1063, 1060, 1056]",1068.67,10.69,"[862.76, 858.78, 854.0, 846.83, 844.44, 841.26]","[862.76, 858.78, 854.0, 846.83, 844.44, 841.26]","[862.76, 858.78, 854.0, 846.83, 844.44, 841.26]",851.34,8.51
1.0,4.0,2023-03-28 04:21:51.208885,19.27,38.0,64.0,700.0,150.0,"[267, 267, 267, 267, 267, 267]","[267, 267, 267, 267, 267, 267]","[267, 267, 267, 267, 267, 267]",267.0,0.0,"[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]","[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]","[286.9, 286.9, 286.9, 286.9, 286.9, 286.9]",286.9,0.0,"[454, 451, 449, 447, 445, 444]","[454, 451, 449, 447, 445, 444]","[454, 451, 449, 447, 445, 444]",448.33,3.78,"[582.49, 578.64, 576.08, 573.51, 570.94, 569.66]","[582.49, 578.64, 576.08, 573.51, 570.94, 569.66]","[582.49, 578.64, 576.08, 573.51, 570.94, 569.66]",575.22,4.85,"[696, 692, 689, 686, 684, 682]","[696, 692, 689, 686, 684, 682]","[696, 692, 689, 686, 684, 682]",688.17,5.23,"[727.44, 723.26, 720.12, 716.99, 714.9, 712.81]","[727.44, 723.26, 720.12, 716.99, 714.9, 712.81]","[727.44, 723.26, 720.12, 716.99, 714.9, 712.81]",719.25,5.47,"[1301, 1294, 1290, 1284, 1281, 1279]","[1301, 1294, 1290, 1284, 1281, 1279]","[1301, 1294, 1290, 1284, 1281, 1279]",1288.17,8.42,"[1176.07, 1169.74, 1166.13, 1160.7, 1157.99, 1156.18]","[1176.07, 1169.74, 1166.13, 1160.7, 1157.99, 1156.18]","[1176.07, 1169.74, 1166.13, 1160.7, 1157.99, 1156.18]",1164.47,7.62,"[803, 799, 795, 791, 789, 787]","[803, 799, 795, 791, 789, 787]","[803, 799, 795, 791, 789, 787]",794.0,6.16,"[782.41, 778.51, 774.61, 770.72, 768.77, 766.82]","[782.41, 778.51, 774.61, 770.72, 768.77, 766.82]","[782.41, 778.51, 774.61, 770.72, 768.77, 766.82]",773.64,6.01,"[859, 854, 850, 845, 843, 841]","[859, 854, 850, 845, 843, 841]","[859, 854, 850, 845, 843, 841]",848.67,6.95,"[773.24, 768.74, 765.14, 760.64, 758.84, 757.04]","[773.24, 768.74, 765.14, 760.64, 758.84, 757.04]","[773.24, 768.74, 765.14, 760.64, 758.84, 757.04]",763.94,6.25
2.0,4.0,2023-03-28 04:22:11.499964,19.24,39.0,64.0,700.0,150.0,"[300, 300, 300, 300, 299, 299]","[300, 300, 300, 300, 299, 299]","[300, 300, 300, 300, 299, 299]",299.67,0.52,"[294.22, 294.22, 294.22, 294.22, 293.24, 293.24]","[294.22, 294.22, 294.22, 294.22, 293.24, 293.24]","[294.22, 294.22, 294.22, 294.22, 293.24, 293.24]",293.89,0.51,"[564, 560, 557, 555, 552, 551]","[564, 560, 557, 555, 552, 551]","[564, 560, 557, 555, 552, 551]",556.5,4.93,"[663.93, 659.22, 655.69, 653.34, 649.81, 648.63]","[663.93, 659.22, 655.69, 653.34, 649.81, 648.63]","[663.93, 659.22, 655.69, 653.34, 649.81, 648.63]",655.1,5.8,"[598, 595, 593, 590, 588, 587]","[598, 595, 593, 590, 588, 587]","[598, 595, 593, 590, 588, 587]",591.83,4.26,"[606.13, 603.09, 601.06, 598.02, 595.99, 594.98]","[606.13, 603.09, 601.06, 598.02, 595.99, 594.98]","[606.13, 603.09, 601.06, 598.02, 595.99, 594.98]",599.88,4.32,"[1351, 1344, 1339, 1334, 1330, 1327]","[1351, 1344, 1339, 1334, 1330, 1327]","[1351, 1344, 1339, 1334, 1330, 1327]",1337.5,9.01,"[1177.44, 1171.34, 1166.99, 1162.63, 1159.14, 1156.53]","[1177.44, 1171.34, 1166.99, 1162.63, 1159.14, 1156.53]","[1177.44, 1171.34, 1166.99, 1162.63, 1159.14, 1156.53]",1165.68,7.85,"[694, 690, 687, 683, 681, 679]","[694, 690, 687, 683, 681, 679]","[694, 690, 687, 683, 681, 679]",685.67,5.72,"[665.21, 661.37, 658.5, 654.66, 652.75, 650.83]","[665.21, 661.37, 658.5, 654.66, 652.75, 650.83]","[665.21, 661.37, 658.5, 654.66, 652.75, 650.83]",657.22,5.48,"[1082, 1073, 1068, 1062, 1058, 1054]","[1082, 1073, 1068, 1062, 1058, 1054]","[1082, 1073, 1068, 1062, 1058, 1054]",1066.17,10.32,"[882.53, 875.19, 871.11, 866.22, 862.96, 859.7]","[882.53, 875.19, 871.11, 866.22, 862.96, 859.7]","[882.53, 875.19, 871.11, 866.22, 862.96, 859.7]",869.62,8.42
3.0,4.0,2023-03-28 04:22:31.898577,19.32,37.0,64.0,700.0,150.0,"[249, 248, 248, 248, 248, 247]","[249, 248, 248, 248, 248, 247]","[249, 248, 248, 248, 248, 247]",248.0,0.63,"[265.83, 264.76, 264.76, 264.76, 264.76, 263.69]","[265.83, 264.76, 264.76, 264.76, 264.76, 263.69]","[265.83, 264.76, 264.76, 264.76, 264.76, 263.69]",264.76,0.68,"[456, 452, 450, 447, 445, 444]","[456, 452, 450, 447, 445, 444]","[456, 452, 450, 447, 445, 444]",449.0,4.56,"[574.02, 568.99, 566.47, 562.69, 560.17, 558.92]","[574.02, 568.99, 566.47, 562.69, 560.17, 558.92]","[574.02, 568.99, 566.47, 562.69, 560.17, 558.92]",565.21,5.74,"[664, 659, 656, 653, 650, 648]","[664, 659, 656, 653, 650, 648]","[664, 659, 656, 653, 650, 648]",655.0,5.93,"[690.04, 684.85, 681.73, 678.61, 675.49, 673.42]","[690.04, 684.85, 681.73, 678.61, 675.49, 673.42]","[690.04, 684.85, 681.73, 678.61, 675.49, 673.42]",680.69,6.16,"[1305, 1297, 1291, 1284, 1280, 1276]","[1305, 1297, 1291, 1284, 1280, 1276]","[1305, 1297, 1291, 1284, 1280, 1276]",1288.83,10.94,"[1167.88, 1160.72, 1155.35, 1149.09, 1145.51, 1141.93]","[1167.88, 1160.72, 1155.35, 1149.09, 1145.51, 1141.93]","[1167.88, 1160.72, 1155.35, 1149.09, 1145.51, 1141.93]",1153.41,9.79,"[737, 732, 729, 725, 722, 720]","[737, 732, 729, 725, 722, 720]","[737, 732, 729, 725, 722, 720]",727.5,6.41,"[713.51, 708.67, 705.76, 701.89, 698.99, 697.05]","[713.51, 708.67, 705.76, 701.89, 698.99, 697.05]","[713.51, 708.67, 705.76, 701.89, 698.99, 697.05]",704.31,6.21,"[924, 917, 911, 906, 902, 899]","[924, 917, 911, 906, 902, 899]","[924, 917, 911, 906, 902, 899]",909.83,9.45,"[797.95, 791.91, 786.73, 782.41, 778.95, 776.36]","[797.95, 791.91, 786.73, 782.41, 778.95, 776.36]","[797.95, 791.91, 786.73, 782.41, 778.95, 776.36]",785.72,8.16
4.0,4.0,2023-03-28 04:22:53.295965,20.36,34.0,64.0,700.0,150.0,"[230, 230, 230, 231, 230, 230]","[230, 230, 230, 231, 230, 230]","[230, 230, 230, 231, 230, 230]",230.17,0.41,"[265.45, 265.45, 265.45, 266.6, 265.45, 265.45]","[265.45, 265.45, 265.45, 266.6, 265.45, 265.45]","[265.45, 265.45, 265.45, 266.6, 265.45, 265.45]",265.64,0.47,"[419, 417, 415, 412, 411, 410]","[419, 417, 415, 412, 411, 410]","[419, 417, 415, 412, 411, 410]",414.0,3.58,"[527.71, 525.19, 522.67, 518.89, 517.64, 516.38]","[527.71, 525.19, 522.67, 518.89, 517.64, 516.38]","[527.71, 525.19, 522.67, 518.89, 517.64, 516.38]",521.41,4.5,"[736, 733, 731, 727, 725, 724]","[736, 733, 731, 727, 725, 724]","[736, 733, 731, 727, 725, 724]",729.33,4.76,"[743.41, 740.38, 738.36, 734.32, 732.3, 731.28]","[743.41, 740.38, 738.36, 734.32, 732.3, 731.28]","[743.41, 740.38, 738.36, 734.32, 732.3, 731.28]",736.68,4.81,"[1150, 1144, 1141, 1136, 1133, 1130]","[1150, 1144, 1141, 1136, 1133, 1130]","[1150, 1144, 1141, 1136, 1133, 1130]",1139.0,7.43,"[1044.73, 1039.27, 1036.55, 1032.01, 1029.28, 1026.56]","[1044.73, 1039.27, 1036.55, 1032.01, 1029.28, 1026.56]","[1044.73, 1039.27, 1036.55, 1032.01, 1029.28, 1026.56]",1034.73,6.75,"[816, 814, 811, 806, 805, 803]","[816, 814, 811, 806, 805, 803]","[816, 814, 811, 806, 805, 803]",809.17,5.27,"[762.93, 761.06, 758.25, 753.58, 752.64, 750.77]","[762.93, 761.06, 758.25, 753.58, 752.64, 750.77]","[762.93, 761.06, 758.25, 753.58, 752.64, 750.77]",756.54,4.93,"[725, 721, 718, 713, 710, 708]","[725, 721, 718, 713, 710, 708]","[725, 721, 718, 713, 710, 708]",715.83,6.62,"[613.53, 610.14, 607.61, 603.37, 600.84, 599.14]","[613.53, 610.14, 607.61, 603.37, 600.84, 599.14]","[613.53, 610.14, 607.61, 603.37, 600.84, 599.14]",605.77,5.6
0.0,5.0,2023-03-28 04:23:13.566408,19.16,37.0,64.0,700.0,150.0,"[308, 308, 309, 309, 309, 309]","[308, 308, 309, 309, 309, 309]","[308, 308, 309, 309, 309, 309]",308.67,0.52,"[312.8, 312.8, 313.81, 313.81, 313.81, 313.81]","[312.8, 312.8, 313.81, 313.81, 313.81, 313.81]","[312.8, 312.8, 313.81, 313.81, 313.81, 313.81]",313.47,0.52,"[505, 501, 498, 494, 492, 490]","[505, 501, 498, 494, 492, 490]","[505, 501, 498, 494, 492, 490]",496.67,5.72,"[568.79, 564.28, 560.91, 556.4, 554.15, 551.89]","[568.79, 564.28, 560.91, 556.4, 554.15, 551.89]","[568.79, 564.28, 560.91, 556.4, 554.15, 551.89]",559.4,6.44,"[357, 355, 353, 351, 350, 349]","[357, 355, 353, 351, 350, 349]","[357, 355, 353, 351, 350, 349]",352.5,3.08,"[361.09, 359.07, 357.05, 355.03, 354.01, 353.0]","[361.09, 359.07, 357.05, 355.03, 354.01, 353.0]","[361.09, 359.07, 357.05, 355.03, 354.01, 353.0]",356.54,3.12,"[1152, 1145, 1139, 1136, 1130, 1129]","[1152, 1145, 1139, 1136, 1130, 1129]","[1152, 1145, 1139, 1136, 1130, 1129]",1138.5,8.87,"[988.31, 982.31, 977.16, 974.59, 969.44, 968.58]","[988.31, 982.31, 977.16, 974.59, 969.44, 968.58]","[988.31, 982.31, 977.16, 974.59, 969.44, 968.58]",976.73,7.61,"[526, 522, 519, 516, 514, 513]","[526, 522, 519, 516, 514, 513]","[526, 522, 519, 516, 514, 513]",518.33,5.01,"[478.19, 474.56, 471.83, 469.1, 467.28, 466.37]","[478.19, 474.56, 471.83, 469.1, 467.28, 466.37]","[478.19, 474.56, 471.83, 469.1, 467.28, 466.37]",471.22,4.55,"[1090, 1083, 1075, 1068, 1062, 1060]","[1090, 1083, 1075, 1068, 1062, 1060]","[1090, 1083, 1075, 1068, 1062, 1060]",1073.0,11.9,"[868.34, 862.76, 856.39, 850.81, 846.03, 844.44]","[868.34, 862.76, 856.39, 850.81, 846.03, 844.44]","[868.34, 862.76, 856.39, 850.81, 846.03, 844.44]",854.8,9.48
