Data_Point,Sample_Num,Time_Stamp,Time_Per,Temp,Gain,Int_Time,Allowable_Dev,Raw_Used_Vio,Raw_Values_Vio_450nm,Raw_Selected_Vio_450nm,Raw_Avg_Vio_450nm,Raw_StdDev_Vio_450nm,Call_Used_Vio,Call_Values_Vio_450nm,Cal_Selected_Vio_450nm,Cal_Avg_Vio_450nm,Cal_StdDev_Vio_450nm,Raw_Used_Blu,Raw_Values_Blu_500nm,Raw_Selected_Blu_500nm,Raw_Avg_Blu_500nm,Raw_StdDev_Blu_500nm,Call_Used_Blu,Call_Values_Blu_500nm,Cal_Selected_Blu_500nm,Cal_Avg_Blu_500nm,Cal_StdDev_Blu_500nm,Raw_Used_Grn,Raw_Values_Grn_550nm,Raw_Selected_Grn_550nm,Raw_Avg_Grn_550nm,Raw_StdDev_Grn_550nm,Call_Used_Grn,Call_Values_Grn_550nm,Cal_Selected_Grn_550nm,Cal_Avg_Grn_550nm,Cal_StdDev_Grn_550nm,Raw_Used_Yel,Raw_Values_Yel_570nm,Raw_Selected_Yel_570nm,Raw_Avg_Yel_570nm,Raw_StdDev_Yel_570nm,Call_Used_Yel,Call_Values_Yel_570nm,Cal_Selected_Yel_570nm,Cal_Avg_Yel_570nm,Cal_StdDev_Yel_570nm,Raw_Used_Org,Raw_Values_Org_600nm,Raw_Selected_Org_600nm,Raw_Avg_Org_600nm,Raw_StdDev_Org_600nm,Call_Used_Org,Call_Values_Org_600nm,Cal_Selected_Org_600nm,Cal_Avg_Org_600nm,Cal_StdDev_Org_600nm,Raw_Used_Red,Raw_Values_Red_650nm,Raw_Selected_Red_650nm,Raw_Avg_Red_650nm,Raw_StdDev_Red_650nm,Call_Used_Red,Call_Values_Red_650nm,Cal_Selected_Red_650nm,Cal_Avg_Red_650nm,Cal_StdDev_Red_650nm
0.0,1.0,2023-03-29 01:20:24.642949,20.41,33.0,64.0,700.0,150.0,"[40, 40, 41, 40, 41, 41]","[40, 40, 41, 40, 41, 41]","[40, 40, 41, 40, 41, 41]",40.5,0.55,"[40.62, 40.62, 41.64, 40.62, 41.64, 41.64]","[40.62, 40.62, 41.64, 40.62, 41.64, 41.64]","[40.62, 40.62, 41.64, 40.62, 41.64, 41.64]",41.13,0.56,"[66, 66, 67, 67, 67, 67]","[66, 66, 67, 67, 67, 67]","[66, 66, 67, 67, 67, 67]",66.67,0.52,"[74.34, 74.34, 75.46, 75.46, 75.46, 75.46]","[74.34, 74.34, 75.46, 75.46, 75.46, 75.46]","[74.34, 74.34, 75.46, 75.46, 75.46, 75.46]",75.09,0.58,"[47, 48, 47, 48, 48, 47]","[47, 48, 47, 48, 48, 47]","[47, 48, 47, 48, 48, 47]",47.5,0.55,"[47.54, 48.55, 47.54, 48.55, 48.55, 47.54]","[47.54, 48.55, 47.54, 48.55, 48.55, 47.54]","[47.54, 48.55, 47.54, 48.55, 48.55, 47.54]",48.05,0.55,"[151, 154, 152, 153, 153, 152]","[151, 154, 152, 153, 153, 152]","[151, 154, 152, 153, 153, 152]",152.5,1.05,"[129.54, 132.12, 130.4, 131.26, 131.26, 130.4]","[129.54, 132.12, 130.4, 131.26, 131.26, 130.4]","[129.54, 132.12, 130.4, 131.26, 131.26, 130.4]",130.83,0.9,"[70, 71, 71, 71, 71, 70]","[70, 71, 71, 71, 71, 70]","[70, 71, 71, 71, 71, 70]",70.67,0.52,"[63.64, 64.55, 64.55, 64.55, 64.55, 63.64]","[63.64, 64.55, 64.55, 64.55, 64.55, 63.64]","[63.64, 64.55, 64.55, 64.55, 64.55, 63.64]",64.25,0.47,"[146, 149, 147, 148, 148, 147]","[146, 149, 147, 148, 148, 147]","[146, 149, 147, 148, 148, 147]",147.5,1.05,"[116.31, 118.7, 117.11, 117.9, 117.9, 117.11]","[116.31, 118.7, 117.11, 117.9, 117.9, 117.11]","[116.31, 118.7, 117.11, 117.9, 117.9, 117.11]",117.5,0.83
1.0,1.0,2023-03-29 01:20:45.169761,20.52,31.0,64.0,700.0,150.0,"[43, 43, 43, 43, 43, 43]","[43, 43, 43, 43, 43, 43]","[43, 43, 43, 43, 43, 43]",43.0,0.0,"[46.2, 46.2, 46.2, 46.2, 46.2, 46.2]","[46.2, 46.2, 46.2, 46.2, 46.2, 46.2]","[46.2, 46.2, 46.2, 46.2, 46.2, 46.2]",46.2,0.0,"[73, 73, 73, 73, 73, 73]","[73, 73, 73, 73, 73, 73]","[73, 73, 73, 73, 73, 73]",73.0,0.0,"[93.66, 93.66, 93.66, 93.66, 93.66, 93.66]","[93.66, 93.66, 93.66, 93.66, 93.66, 93.66]","[93.66, 93.66, 93.66, 93.66, 93.66, 93.66]",93.66,0.0,"[111, 111, 111, 111, 111, 111]","[111, 111, 111, 111, 111, 111]","[111, 111, 111, 111, 111, 111]",111.0,0.0,"[116.01, 116.01, 116.01, 116.01, 116.01, 116.01]","[116.01, 116.01, 116.01, 116.01, 116.01, 116.01]","[116.01, 116.01, 116.01, 116.01, 116.01, 116.01]",116.01,0.0,"[209, 209, 209, 209, 209, 209]","[209, 209, 209, 209, 209, 209]","[209, 209, 209, 209, 209, 209]",209.0,0.0,"[188.93, 188.93, 188.93, 188.93, 188.93, 188.93]","[188.93, 188.93, 188.93, 188.93, 188.93, 188.93]","[188.93, 188.93, 188.93, 188.93, 188.93, 188.93]",188.93,0.0,"[128, 128, 128, 128, 128, 128]","[128, 128, 128, 128, 128, 128]","[128, 128, 128, 128, 128, 128]",128.0,0.0,"[124.72, 124.72, 124.72, 124.72, 124.72, 124.72]","[124.72, 124.72, 124.72, 124.72, 124.72, 124.72]","[124.72, 124.72, 124.72, 124.72, 124.72, 124.72]",124.72,0.0,"[139, 139, 139, 139, 139, 139]","[139, 139, 139, 139, 139, 139]","[139, 139, 139, 139, 139, 139]",139.0,0.0,"[125.12, 125.12, 125.12, 125.12, 125.12, 125.12]","[125.12, 125.12, 125.12, 125.12, 125.12, 125.12]","[125.12, 125.12, 125.12, 125.12, 125.12, 125.12]",125.12,0.0
2.0,1.0,2023-03-29 01:21:05.508168,20.12,33.0,64.0,700.0,150.0,"[64, 0, 0, 0, 0, 0]","[64, 0, 0, 0, 0, 0]","[64, 0, 0, 0, 0, 0]",10.67,26.13,"[62.77, 0.0, 0.0, 0.0, 0.0, 0.0]","[62.77, 0.0, 0.0, 0.0, 0.0, 0.0]","[62.77, 0.0, 0.0, 0.0, 0.0, 0.0]",10.46,25.63,"[120, 0, 0, 0, 0, 0]","[120, 0, 0, 0, 0, 0]","[120, 0, 0, 0, 0, 0]",20.0,48.99,"[141.26, 0.0, 0.0, 0.0, 0.0, 0.0]","[141.26, 0.0, 0.0, 0.0, 0.0, 0.0]","[141.26, 0.0, 0.0, 0.0, 0.0, 0.0]",23.54,57.67,"[121, 0, 0, 0, 0, 0]","[121, 0, 0, 0, 0, 0]","[121, 0, 0, 0, 0, 0]",20.17,49.4,"[122.64, 0.0, 0.0, 0.0, 0.0, 0.0]","[122.64, 0.0, 0.0, 0.0, 0.0, 0.0]","[122.64, 0.0, 0.0, 0.0, 0.0, 0.0]",20.44,50.07,"[0, 0, 0, 0, 0]","[286, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[249.26, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[140, 0, 0, 0, 0, 0]","[140, 0, 0, 0, 0, 0]","[140, 0, 0, 0, 0, 0]",23.33,57.15,"[134.19, 0.0, 0.0, 0.0, 0.0, 0.0]","[134.19, 0.0, 0.0, 0.0, 0.0, 0.0]","[134.19, 0.0, 0.0, 0.0, 0.0, 0.0]",22.36,54.78,"[0, 0, 0, 0, 0]","[227, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[185.15, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
3.0,1.0,2023-03-29 01:21:25.956187,20.44,33.0,64.0,700.0,150.0,"[60, 59, 8, 8, 8, 8]","[60, 59, 8, 8, 8, 8]","[60, 59, 8, 8, 8, 8]",25.17,26.6,"[64.06, 62.99, 8.54, 8.54, 8.54, 8.54]","[64.06, 62.99, 8.54, 8.54, 8.54, 8.54]","[64.06, 62.99, 8.54, 8.54, 8.54, 8.54]",26.87,28.4,"[109, 108, 15, 15, 15, 15]","[109, 108, 15, 15, 15, 15]","[109, 108, 15, 15, 15, 15]",46.17,48.28,"[137.21, 135.95, 18.88, 18.88, 18.88, 18.88]","[137.21, 135.95, 18.88, 18.88, 18.88, 18.88]","[137.21, 135.95, 18.88, 18.88, 18.88, 18.88]",58.11,60.78,"[158, 158, 25, 24, 25, 25]","[158, 158, 25, 24, 25, 25]","[158, 158, 25, 24, 25, 25]",69.17,68.81,"[164.2, 164.2, 25.98, 24.94, 25.98, 25.98]","[164.2, 164.2, 25.98, 24.94, 25.98, 25.98]","[164.2, 164.2, 25.98, 24.94, 25.98, 25.98]",71.88,71.51,"[43, 43, 43, 43]","[311, 310, 43, 43, 43, 43]","[43, 43, 43, 43]",43.0,0.0,"[38.48, 38.48, 38.48, 38.48]","[278.32, 277.43, 38.48, 38.48, 38.48, 38.48]","[38.48, 38.48, 38.48, 38.48]",38.48,0.0,"[175, 174, 29, 29, 29, 29]","[175, 174, 29, 29, 29, 29]","[175, 174, 29, 29, 29, 29]",77.5,75.14,"[169.42, 168.45, 28.08, 28.08, 28.08, 28.08]","[169.42, 168.45, 28.08, 28.08, 28.08, 28.08]","[169.42, 168.45, 28.08, 28.08, 28.08, 28.08]",75.03,72.74,"[32, 32, 32, 32]","[219, 219, 32, 32, 32, 32]","[32, 32, 32, 32]",32.0,0.0,"[27.63, 27.63, 27.63, 27.63]","[189.13, 189.13, 27.63, 27.63, 27.63, 27.63]","[27.63, 27.63, 27.63, 27.63]",27.63,0.0
4.0,1.0,2023-03-29 01:21:46.309415,20.19,32.0,64.0,700.0,150.0,"[225, 226, 226, 226, 226]","[52, 225, 226, 226, 226, 226]","[225, 226, 226, 226, 226]",225.8,0.45,"[259.68, 260.83, 260.83, 260.83, 260.83]","[60.01, 259.68, 260.83, 260.83, 260.83, 260.83]","[259.68, 260.83, 260.83, 260.83, 260.83]",260.6,0.51,"[401, 399, 397, 395, 393]","[91, 401, 399, 397, 395, 393]","[401, 399, 397, 395, 393]",397.0,3.16,"[505.04, 502.52, 500.0, 497.48, 494.97]","[114.61, 505.04, 502.52, 500.0, 497.48, 494.97]","[505.04, 502.52, 500.0, 497.48, 494.97]",500.0,3.98,"[730, 727, 724, 720, 718]","[164, 730, 727, 724, 720, 718]","[730, 727, 724, 720, 718]",723.8,4.92,"[737.35, 734.32, 731.28, 727.24, 725.22]","[165.65, 737.35, 734.32, 731.28, 727.24, 725.22]","[737.35, 734.32, 731.28, 727.24, 725.22]",731.08,4.97,"[1119, 1114, 1111, 1106, 1103]","[254, 1119, 1114, 1111, 1106, 1103]","[1119, 1114, 1111, 1106, 1103]",1110.6,6.35,"[1016.56, 1012.02, 1009.3, 1004.75, 1002.03]","[230.75, 1016.56, 1012.02, 1009.3, 1004.75, 1002.03]","[1016.56, 1012.02, 1009.3, 1004.75, 1002.03]",1008.93,5.77,"[812, 809, 806, 802, 801]","[184, 812, 809, 806, 802, 801]","[812, 809, 806, 802, 801]",806.0,4.64,"[759.19, 756.38, 753.58, 749.84, 748.9]","[172.03, 759.19, 756.38, 753.58, 749.84, 748.9]","[759.19, 756.38, 753.58, 749.84, 748.9]",753.58,4.34,"[695, 690, 687, 684, 681]","[159, 695, 690, 687, 684, 681]","[695, 690, 687, 684, 681]",687.4,5.41,"[588.14, 583.91, 581.37, 578.83, 576.29]","[134.55, 588.14, 583.91, 581.37, 578.83, 576.29]","[588.14, 583.91, 581.37, 578.83, 576.29]",581.71,4.58
0.0,2.0,2023-03-29 01:22:06.943400,20.63,33.0,64.0,700.0,150.0,"[311, 312, 312, 313, 313, 313]","[311, 312, 312, 313, 313, 313]","[311, 312, 312, 313, 313, 313]",312.33,0.82,"[315.84, 316.86, 316.86, 317.87, 317.87, 317.87]","[315.84, 316.86, 316.86, 317.87, 317.87, 317.87]","[315.84, 316.86, 316.86, 317.87, 317.87, 317.87]",317.19,0.83,"[528, 523, 521, 519, 516, 514]","[528, 523, 521, 519, 516, 514]","[528, 523, 521, 519, 516, 514]",520.17,5.04,"[594.69, 589.06, 586.81, 584.56, 581.18, 578.93]","[594.69, 589.06, 586.81, 584.56, 581.18, 578.93]","[594.69, 589.06, 586.81, 584.56, 581.18, 578.93]",585.87,5.67,"[353, 350, 349, 348, 346, 345]","[353, 350, 349, 348, 346, 345]","[353, 350, 349, 348, 346, 345]",348.5,2.88,"[357.05, 354.01, 353.0, 351.99, 349.97, 348.96]","[357.05, 354.01, 353.0, 351.99, 349.97, 348.96]","[357.05, 354.01, 353.0, 351.99, 349.97, 348.96]",352.5,2.91,"[1185, 1176, 1171, 1169, 1165, 1162]","[1185, 1176, 1171, 1169, 1165, 1162]","[1185, 1176, 1171, 1169, 1165, 1162]",1171.33,8.26,"[1016.63, 1008.9, 1004.61, 1002.9, 999.47, 996.89]","[1016.63, 1008.9, 1004.61, 1002.9, 999.47, 996.89]","[1016.63, 1008.9, 1004.61, 1002.9, 999.47, 996.89]",1004.9,7.09,"[518, 514, 512, 510, 508, 507]","[518, 514, 512, 510, 508, 507]","[518, 514, 512, 510, 508, 507]",511.5,4.09,"[470.92, 467.28, 465.46, 463.65, 461.83, 460.92]","[470.92, 467.28, 465.46, 463.65, 461.83, 460.92]","[470.92, 467.28, 465.46, 463.65, 461.83, 460.92]",465.01,3.71,"[1139, 1128, 1121, 1119, 1113, 1110]","[1139, 1128, 1121, 1119, 1113, 1110]","[1139, 1128, 1121, 1119, 1113, 1110]",1121.67,10.58,"[907.38, 898.61, 893.04, 891.44, 886.66, 884.27]","[907.38, 898.61, 893.04, 891.44, 886.66, 884.27]","[907.38, 898.61, 893.04, 891.44, 886.66, 884.27]",893.57,8.43
