Data_Point,Sample_Num,Time_Stamp,Time_Per,Temp,Gain,Int_Time,Allowable_Dev,Raw_Used_Vio,Raw_Values_Vio_450nm,Raw_Selected_Vio_450nm,Raw_Avg_Vio_450nm,Raw_StdDev_Vio_450nm,Call_Used_Vio,Call_Values_Vio_450nm,Cal_Selected_Vio_450nm,Cal_Avg_Vio_450nm,Cal_StdDev_Vio_450nm,Raw_Used_Blu,Raw_Values_Blu_500nm,Raw_Selected_Blu_500nm,Raw_Avg_Blu_500nm,Raw_StdDev_Blu_500nm,Call_Used_Blu,Call_Values_Blu_500nm,Cal_Selected_Blu_500nm,Cal_Avg_Blu_500nm,Cal_StdDev_Blu_500nm,Raw_Used_Grn,Raw_Values_Grn_550nm,Raw_Selected_Grn_550nm,Raw_Avg_Grn_550nm,Raw_StdDev_Grn_550nm,Call_Used_Grn,Call_Values_Grn_550nm,Cal_Selected_Grn_550nm,Cal_Avg_Grn_550nm,Cal_StdDev_Grn_550nm,Raw_Used_Yel,Raw_Values_Yel_570nm,Raw_Selected_Yel_570nm,Raw_Avg_Yel_570nm,Raw_StdDev_Yel_570nm,Call_Used_Yel,Call_Values_Yel_570nm,Cal_Selected_Yel_570nm,Cal_Avg_Yel_570nm,Cal_StdDev_Yel_570nm,Raw_Used_Org,Raw_Values_Org_600nm,Raw_Selected_Org_600nm,Raw_Avg_Org_600nm,Raw_StdDev_Org_600nm,Call_Used_Org,Call_Values_Org_600nm,Cal_Selected_Org_600nm,Cal_Avg_Org_600nm,Cal_StdDev_Org_600nm,Raw_Used_Red,Raw_Values_Red_650nm,Raw_Selected_Red_650nm,Raw_Avg_Red_650nm,Raw_StdDev_Red_650nm,Call_Used_Red,Call_Values_Red_650nm,Cal_Selected_Red_650nm,Cal_Avg_Red_650nm,Cal_StdDev_Red_650nm
0.0,1.0,2023-03-29 06:34:54.533782,22.0,45.0,64.0,700.0,150.0,"[315, 315, 315, 315, 315, 315, 315]","[315, 315, 315, 315, 315, 315, 315]","[315, 315, 315, 315, 315, 315, 315]",315.0,0.0,"[319.9, 319.9, 319.9, 319.9, 319.9, 319.9, 319.9]","[319.9, 319.9, 319.9, 319.9, 319.9, 319.9, 319.9]","[319.9, 319.9, 319.9, 319.9, 319.9, 319.9, 319.9]",319.9,0.0,"[479, 479, 479, 478, 478, 479, 479]","[479, 479, 479, 478, 478, 479, 479]","[479, 479, 479, 478, 478, 479, 479]",478.71,0.49,"[539.51, 539.51, 539.51, 538.38, 538.38, 539.51, 539.51]","[539.51, 539.51, 539.51, 538.38, 538.38, 539.51, 539.51]","[539.51, 539.51, 539.51, 538.38, 538.38, 539.51, 539.51]",539.19,0.55,"[318, 318, 318, 318, 318, 318, 318]","[318, 318, 318, 318, 318, 318, 318]","[318, 318, 318, 318, 318, 318, 318]",318.0,0.0,"[321.65, 321.65, 321.65, 321.65, 321.65, 321.65, 321.65]","[321.65, 321.65, 321.65, 321.65, 321.65, 321.65, 321.65]","[321.65, 321.65, 321.65, 321.65, 321.65, 321.65, 321.65]",321.65,0.0,"[1092, 1094, 1092, 1093, 1092, 1092, 1092]","[1092, 1094, 1092, 1093, 1092, 1092, 1092]","[1092, 1094, 1092, 1093, 1092, 1092, 1092]",1092.43,0.79,"[936.84, 938.56, 936.84, 937.7, 936.84, 936.84, 936.84]","[936.84, 938.56, 936.84, 937.7, 936.84, 936.84, 936.84]","[936.84, 938.56, 936.84, 937.7, 936.84, 936.84, 936.84]",937.21,0.68,"[467, 466, 466, 466, 467, 466, 467]","[467, 466, 466, 466, 467, 466, 467]","[467, 466, 466, 466, 467, 466, 467]",466.43,0.53,"[424.55, 423.65, 423.65, 424.55, 423.65, 424.55]","[424.55, 423.65, 423.65, 424.55, 423.65, 424.55]","[424.55, 423.65, 423.65, 424.55, 423.65, 424.55]",424.1,0.49,"[1022, 1023, 1022, 1023, 1022, 1022, 1022]","[1022, 1023, 1022, 1023, 1022, 1022, 1022]","[1022, 1023, 1022, 1023, 1022, 1022, 1022]",1022.29,0.49,"[814.17, 814.97, 814.97, 814.17, 814.17, 814.17]","[814.17, 814.97, 814.97, 814.17, 814.17, 814.17]","[814.17, 814.97, 814.97, 814.17, 814.17, 814.17]",814.44,0.41
1.0,1.0,2023-03-29 06:35:15.215613,20.44,36.0,64.0,700.0,150.0,"[279, 279, 279, 279, 279, 278]","[279, 279, 279, 279, 279, 278]","[279, 279, 279, 279, 279, 278]",278.83,0.41,"[299.79, 299.79, 299.79, 299.79, 299.79, 298.72]","[299.79, 299.79, 299.79, 299.79, 299.79, 298.72]","[299.79, 299.79, 299.79, 299.79, 299.79, 298.72]",299.61,0.44,"[488, 484, 481, 479, 477, 474]","[488, 484, 481, 479, 477, 474]","[488, 484, 481, 479, 477, 474]",480.5,5.01,"[626.11, 620.98, 617.13, 614.57, 612.0, 608.15]","[626.11, 620.98, 617.13, 614.57, 612.0, 608.15]","[626.11, 620.98, 617.13, 614.57, 612.0, 608.15]",616.49,6.43,"[702, 699, 694, 692, 690, 687]","[702, 699, 694, 692, 690, 687]","[702, 699, 694, 692, 690, 687]",694.0,5.62,"[733.71, 730.58, 725.35, 723.26, 721.17, 718.03]","[733.71, 730.58, 725.35, 723.26, 721.17, 718.03]","[733.71, 730.58, 725.35, 723.26, 721.17, 718.03]",725.35,5.88,"[1363, 1356, 1348, 1342, 1340, 1333]","[1363, 1356, 1348, 1342, 1340, 1333]","[1363, 1356, 1348, 1342, 1340, 1333]",1347.0,11.03,"[1232.12, 1225.79, 1218.56, 1213.13, 1211.32, 1205.0]","[1232.12, 1225.79, 1218.56, 1213.13, 1211.32, 1205.0]","[1232.12, 1225.79, 1218.56, 1213.13, 1211.32, 1205.0]",1217.65,9.97,"[803, 799, 793, 790, 787, 784]","[803, 799, 793, 790, 787, 784]","[803, 799, 793, 790, 787, 784]",792.67,7.23,"[782.41, 778.51, 772.66, 769.74, 766.82, 763.89]","[782.41, 778.51, 772.66, 769.74, 766.82, 763.89]","[782.41, 778.51, 772.66, 769.74, 766.82, 763.89]",772.34,7.05,"[917, 910, 903, 899, 895, 891]","[917, 910, 903, 899, 895, 891]","[917, 910, 903, 899, 895, 891]",902.5,9.67,"[825.45, 819.15, 812.85, 809.25, 805.65, 802.05]","[825.45, 819.15, 812.85, 809.25, 805.65, 802.05]","[825.45, 819.15, 812.85, 809.25, 805.65, 802.05]",812.4,8.7
2.0,1.0,2023-03-29 06:35:35.862551,20.44,34.0,64.0,700.0,150.0,"[304, 305, 305, 304, 304, 304]","[304, 305, 305, 304, 304, 304]","[304, 305, 305, 304, 304, 304]",304.33,0.52,"[298.15, 299.13, 299.13, 298.15, 298.15, 298.15]","[298.15, 299.13, 299.13, 298.15, 298.15, 298.15]","[298.15, 299.13, 299.13, 298.15, 298.15, 298.15]",298.48,0.51,"[597, 593, 589, 585, 583, 579]","[597, 593, 589, 585, 583, 579]","[597, 593, 589, 585, 583, 579]",587.67,6.65,"[702.78, 698.07, 693.36, 688.65, 686.3, 681.59]","[702.78, 698.07, 693.36, 688.65, 686.3, 681.59]","[702.78, 698.07, 693.36, 688.65, 686.3, 681.59]",691.79,7.83,"[600, 597, 593, 592, 589, 587]","[600, 597, 593, 592, 589, 587]","[600, 597, 593, 592, 589, 587]",593.0,4.86,"[608.16, 605.11, 601.06, 600.05, 597.01, 594.98]","[608.16, 605.11, 601.06, 600.05, 597.01, 594.98]","[608.16, 605.11, 601.06, 600.05, 597.01, 594.98]",601.06,4.92,"[1395, 1388, 1380, 1375, 1371, 1366]","[1395, 1388, 1380, 1375, 1371, 1366]","[1395, 1388, 1380, 1375, 1371, 1366]",1379.17,10.83,"[1215.79, 1209.69, 1202.72, 1198.36, 1194.88, 1190.52]","[1215.79, 1209.69, 1202.72, 1198.36, 1194.88, 1190.52]","[1215.79, 1209.69, 1202.72, 1198.36, 1194.88, 1190.52]",1201.99,9.44,"[694, 689, 685, 683, 680, 677]","[694, 689, 685, 683, 680, 677]","[694, 689, 685, 683, 680, 677]",684.67,6.15,"[665.21, 660.42, 656.58, 654.66, 651.79, 648.91]","[665.21, 660.42, 656.58, 654.66, 651.79, 648.91]","[665.21, 660.42, 656.58, 654.66, 651.79, 648.91]",656.26,5.9,"[1145, 1138, 1128, 1121, 1116, 1109]","[1145, 1138, 1128, 1121, 1116, 1109]","[1145, 1138, 1128, 1121, 1116, 1109]",1126.17,13.59,"[933.92, 928.21, 920.05, 914.34, 910.27, 904.56]","[933.92, 928.21, 920.05, 914.34, 910.27, 904.56]","[933.92, 928.21, 920.05, 914.34, 910.27, 904.56]",918.56,11.08
3.0,1.0,2023-03-29 06:35:56.419488,20.35,33.0,64.0,700.0,150.0,"[250, 250, 250, 250, 249, 249]","[250, 250, 250, 250, 249, 249]","[250, 250, 250, 250, 249, 249]",249.67,0.52,"[266.9, 266.9, 266.9, 266.9, 265.83, 265.83]","[266.9, 266.9, 266.9, 266.9, 265.83, 265.83]","[266.9, 266.9, 266.9, 266.9, 265.83, 265.83]",266.54,0.55,"[470, 467, 463, 461, 459, 457]","[470, 467, 463, 461, 459, 457]","[470, 467, 463, 461, 459, 457]",462.83,4.92,"[591.64, 587.87, 582.83, 580.32, 577.8, 575.28]","[591.64, 587.87, 582.83, 580.32, 577.8, 575.28]","[591.64, 587.87, 582.83, 580.32, 577.8, 575.28]",582.62,6.19,"[682, 678, 674, 671, 669, 667]","[682, 678, 674, 671, 669, 667]","[682, 678, 674, 671, 669, 667]",673.5,5.68,"[708.75, 704.59, 700.44, 697.32, 695.24, 693.16]","[708.75, 704.59, 700.44, 697.32, 695.24, 693.16]","[708.75, 704.59, 700.44, 697.32, 695.24, 693.16]",699.92,5.91,"[1336, 1327, 1319, 1314, 1310, 1304]","[1336, 1327, 1319, 1314, 1310, 1304]","[1336, 1327, 1319, 1314, 1310, 1304]",1318.33,11.67,"[1195.62, 1187.57, 1180.41, 1175.94, 1172.36, 1166.99]","[1195.62, 1187.57, 1180.41, 1175.94, 1172.36, 1166.99]","[1195.62, 1187.57, 1180.41, 1175.94, 1172.36, 1166.99]",1179.81,10.44,"[754, 749, 744, 741, 739, 736]","[754, 749, 744, 741, 739, 736]","[754, 749, 744, 741, 739, 736]",743.83,6.68,"[729.97, 725.13, 720.29, 717.38, 715.45, 712.54]","[729.97, 725.13, 720.29, 717.38, 715.45, 712.54]","[729.97, 725.13, 720.29, 717.38, 715.45, 712.54]",720.13,6.46,"[947, 941, 934, 929, 926, 921]","[947, 941, 934, 929, 926, 921]","[947, 941, 934, 929, 926, 921]",933.0,9.7,"[817.82, 812.63, 806.59, 802.27, 799.68, 795.36]","[817.82, 812.63, 806.59, 802.27, 799.68, 795.36]","[817.82, 812.63, 806.59, 802.27, 799.68, 795.36]",805.72,8.37
4.0,1.0,2023-03-29 06:36:16.788560,20.16,32.0,64.0,700.0,150.0,"[226, 226, 227, 227, 227, 227]","[226, 226, 227, 227, 227, 227]","[226, 226, 227, 227, 227, 227]",226.67,0.52,"[260.83, 260.83, 261.98, 261.98, 261.98, 261.98]","[260.83, 260.83, 261.98, 261.98, 261.98, 261.98]","[260.83, 260.83, 261.98, 261.98, 261.98, 261.98]",261.6,0.59,"[416, 413, 410, 409, 407, 405]","[416, 413, 410, 409, 407, 405]","[416, 413, 410, 409, 407, 405]",410.0,4.0,"[523.93, 520.15, 516.38, 515.12, 512.6, 510.08]","[523.93, 520.15, 516.38, 515.12, 512.6, 510.08]","[523.93, 520.15, 516.38, 515.12, 512.6, 510.08]",516.38,5.04,"[738, 734, 731, 728, 726, 723]","[738, 734, 731, 728, 726, 723]","[738, 734, 731, 728, 726, 723]",730.0,5.48,"[745.43, 741.39, 738.36, 735.33, 733.31, 730.27]","[745.43, 741.39, 738.36, 735.33, 733.31, 730.27]","[745.43, 741.39, 738.36, 735.33, 733.31, 730.27]",737.35,5.53,"[1137, 1132, 1127, 1123, 1120, 1117]","[1137, 1132, 1127, 1123, 1120, 1117]","[1137, 1132, 1127, 1123, 1120, 1117]",1126.0,7.54,"[1032.92, 1028.37, 1023.83, 1020.2, 1017.47, 1014.75]","[1032.92, 1028.37, 1023.83, 1020.2, 1017.47, 1014.75]","[1032.92, 1028.37, 1023.83, 1020.2, 1017.47, 1014.75]",1022.92,6.85,"[823, 817, 813, 810, 808, 805]","[823, 817, 813, 810, 808, 805]","[823, 817, 813, 810, 808, 805]",812.67,6.53,"[769.47, 763.86, 760.12, 757.32, 755.45, 752.64]","[769.47, 763.86, 760.12, 757.32, 755.45, 752.64]","[769.47, 763.86, 760.12, 757.32, 755.45, 752.64]",759.81,6.11,"[721, 717, 711, 708, 705, 702]","[721, 717, 711, 708, 705, 702]","[721, 717, 711, 708, 705, 702]",710.67,7.23,"[610.14, 606.76, 601.68, 599.14, 596.6, 594.07]","[610.14, 606.76, 601.68, 599.14, 596.6, 594.07]","[610.14, 606.76, 601.68, 599.14, 596.6, 594.07]",601.4,6.12
0.0,2.0,2023-03-29 06:36:37.053331,20.26,43.0,64.0,700.0,150.0,"[317, 317, 317, 317, 317, 317]","[317, 317, 317, 317, 317, 317]","[317, 317, 317, 317, 317, 317]",317.0,0.0,"[321.94, 321.94, 321.94, 321.94, 321.94, 321.94]","[321.94, 321.94, 321.94, 321.94, 321.94, 321.94]","[321.94, 321.94, 321.94, 321.94, 321.94, 321.94]",321.94,0.0,"[504, 500, 497, 495, 494, 492]","[504, 500, 497, 495, 494, 492]","[504, 500, 497, 495, 494, 492]",497.0,4.38,"[567.66, 563.16, 559.78, 557.53, 556.4, 554.15]","[567.66, 563.16, 559.78, 557.53, 556.4, 554.15]","[567.66, 563.16, 559.78, 557.53, 556.4, 554.15]",559.78,4.93,"[338, 335, 334, 332, 331, 330]","[338, 335, 334, 332, 331, 330]","[338, 335, 334, 332, 331, 330]",333.33,2.94,"[341.88, 338.84, 337.83, 335.81, 334.8, 333.78]","[341.88, 338.84, 337.83, 335.81, 334.8, 333.78]","[341.88, 338.84, 337.83, 335.81, 334.8, 333.78]",337.16,2.98,"[1148, 1142, 1137, 1133, 1128, 1126]","[1148, 1142, 1137, 1133, 1128, 1126]","[1148, 1142, 1137, 1133, 1128, 1126]",1135.67,8.41,"[984.88, 979.74, 975.45, 972.01, 967.72, 966.01]","[984.88, 979.74, 975.45, 972.01, 967.72, 966.01]","[984.88, 979.74, 975.45, 972.01, 967.72, 966.01]",974.3,7.21,"[495, 492, 489, 488, 486, 484]","[495, 492, 489, 488, 486, 484]","[495, 492, 489, 488, 486, 484]",489.0,4.0,"[450.01, 447.28, 444.55, 443.65, 441.83, 440.01]","[450.01, 447.28, 444.55, 443.65, 441.83, 440.01]","[450.01, 447.28, 444.55, 443.65, 441.83, 440.01]",444.56,3.64,"[1083, 1075, 1068, 1064, 1059, 1056]","[1083, 1075, 1068, 1064, 1059, 1056]","[1083, 1075, 1068, 1064, 1059, 1056]",1067.5,10.13,"[862.76, 856.39, 850.81, 847.63, 843.64, 841.26]","[862.76, 856.39, 850.81, 847.63, 843.64, 841.26]","[862.76, 856.39, 850.81, 847.63, 843.64, 841.26]",850.42,8.07
